Field1,Field2
Petroleum and Coal Products Manufacturing,324
Food Processing,311x - 312
Food & Beverage,3113 - 3114
Semiconductor and Other Electronic Component Manufacturing,334x
Computer and Electronic Product Manufacturing,3344
"Electrical Equipment, Appliance, and Component Manufacturing",335
Nonmetallic Mineral Product Manufacturing (excl. glass and cement),327x
Glass Manufacturing,3272
Cement,3273
Chemical Manufacturing,325
Plastics and Rubber Products Manufacturing,326
Fabricated Metal Product Manufacturing,332
Primary Metal Manufacturing,331
Machinery Manufacturing,333
Transportation Equipment Manufacturing,336
"Pulp, Paper, and Paperboard Mills ",322x
Paper Manufacturing (excl. Mills),3221
Printing and Related Support Activities,323
Publishing Industries (except Internet),511 - 516
Textile Mills ,313
Textile Product Mills,314
Apparel & Leather Product Manufacturing,315 - 316
Logging & Wood Product Manufacturing,1133 - 321
Furniture and Related Product Manufacturing,337
Miscellaneous Manufacturing,339
Construction,230
