IncidentType,Resolution
CALLER REPORTED A UTILITY POLE ON FIRE THAT CAUSED A RELEASE OF MATERIALS.,FIXED
CALLER REPORTED A FLANGE LEAKING ON A SALT WATER LINE.,PIPELINE
CALLER REPORTED A DERAILMENT OF A RAIL CAR DUE TO UNKNOWN REASONS.,RAILROAD NON-RELEASE
CALLER STATED THAT A PUMP SEAL ON A PUMP RUPTURED AND RELEASED GASOLINE INTO A CONTAINMENT AREA AND ONTO GRAVEL AND DIRT.,FIXED
CALLER STATED THAT THEY DISCOVERED AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE ON THE WATERS OF EAUGALLIE RIVER. CALLER FIRST SMELLED THE MATERIAL ON THE WATER YESTERDAY AND NOTICED THE SHEEN THIS MORNING.,UNKNOWN SHEEN
CALLER IS REPORTING AN UNKNOWN SHEEN ALONG THE BANK OF THEIR DOCK FROM AN UNKNOWN SOURCE.,UNKNOWN SHEEN
CALLER STATED THAT THEY HAVE DISCOVERED AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE ON THE WATERS OF SABINE NECHES RIVER.,UNKNOWN SHEEN
"CALLER STATED DUE TO AN OVERFLOW OF A SUMP, C5 MATERIAL RELEASED INTO THE WATER CREATING A SHEEN.",FIXED
"CALLER STATED DUE TO A SMALL LEAK ON A HYDRAULIC LINE ON UNIT NO.1, LESS THAN ONE PINT OF HYDRAULIC OIL RELEASED INTO TO THE WATERS OF THE COCHECO RIVER.",FIXED
CALLER STATED THAT A LOCOMOTIVE LEAKED ONE GALLON OF LUBE OIL ONTO THE BALLAST DUE TO UNKNOWN CAUSES AT THIS TIME.,RAILROAD
CALLER STATED TANKER TORM LAURA TOUCHED BOTTOM ALONG SIDE OF THE DOCK DURING CARGO OPERATIONS. CALLER STATED THERE WAS NO RELEASE OF ANY MATERIAL DUE TO THIS INCIDENT. CALLER DID NOT KNOWN WHY THE VESSEL TOUCHED BOTTOM AT THE TIME OF THE CALL.,VESSEL
CALLER IS REPORTING AN UNKNOWN SHEEN FROM AN UNKNOWN SOURCE IN THE WATER.,UNKNOWN SHEEN
"THE RP IS REPORTING A SHEEN ON THE WATERS OF SINCLAIR INLET, SOURCE IS UNKNOWN.",UNKNOWN SHEEN
"THE RP IS REPORTING A SHEEN ON THE WATERS OF THE SAN JACINTO RIVER, SOURCE IS CURRENTLY UNKNOWN.",UNKNOWN SHEEN
"A MYSTERY SHEEN WAS OBSERVED ON THE DELAWARE RIVER, FROM AN UNKNOWN SOURCE. SHEEN WAS DESCRIBED AS HEAVILY CONCENTRATED, 6FT FROM THE SHORE WITH VISIBLY 20+ OUT (SHEEN LENGTH). 

* COUNTY INITIALLY RECEIVED AIRBORNE CALLS.",UNKNOWN SHEEN
THE RP IS REPORTING A COMMUTER TRAIN VERSUS PASSENGER VEHICLE AT A GRADE CROSSING.  RP STATED THE CAUSE OF THE INCIDENT IS UNDER INVESTIGATION.  RP STATED THAT THE OCCUPANT OF THE VEHICLE WAS TRANSPORTED TO A LOCAL HOSPITAL AND WAS LATER PRONOUNCED DECEASED (CONFIRMATION TIME UNKNOWN).,RAILROAD NON-RELEASE
"LESS THAN ONE GALLON OF CRUDE OIL DISCHARGED FROM A DOCK ARM (CONNECTED TO A BARGE), DUE TO A BURP.

* THE RP PROVIDED MINIMAL INFORMATION.",FIXED
"THE RP IS REPORTING A DISCHARGE OF CRUDE OIL DURING A TRANSFER OPERATION.  RP STATED THAT WHEN HOOKING UP THE ""DOCK ARM"" MIS-ALINGED.  THE IMPACTS ARE THE DECK OF THE BARGE AND THE ATCHAFALAYA RIVER.",VESSEL
"ON 31DEC2016 AT APPROXIMATELY 1800PST, A RECREATIONAL VESSEL RAN AGROUND (A ROCK) AND WAS IMMENSELY DAMAGED. VESSEL HAD 20-25 GALLONS OF GASOLINE ONBOARD AND 3 GALLONS OF OIL; A SHEEN WAS OBSERVED. MAJORITY HAS DISSIPATED, WHILE SOME HAS WASHED ASHORE. *SAR WAS INITIATED, VESSEL HAD THREE POB (TWO RECOVERED, ONE FATAL).",VESSEL
THE RP IS REPORTING A DISCHARGE OF A MIXED OIL (WATER AND ASSORTED OILS).  RP STATED THAT WHILE CLEANING OUT HOSES ON BOARD THE VESSEL THE OIL DISCHARGE OCCURRED.  THE IMPACTS ARE THE DECK OF THE VESSEL AND THE ATLANTIC OCEAN.,VESSEL
"AN UNKNOWN PARTY WAS ALLEGEDLY DOING ""WORK"" AT THE BACK OF THE PROPERTY AND HOSED DOWN THE AREA. RESULTING IN AN OIL (SUSPECTED MOTOR OIL) MIXTURE TO RUN DOWN THE DRIVE-WAY AND INTO A STORM DRAIN. AMOUNT INVOLVED IS UNKNOWN; POSSIBLY 4 GALLONS.",FIXED
"THE RP IS REPORTING A DISCHARGE OF MGO (MARINE GAS OIL) DURING BUNKERING OPERATIONS.  RP STATED THAT A QUIK CONNECT COUPLING WAS LEAKING, DUE TO UNKNOWN CAUSES.  THE IMPACT IS THE GULF OF MEXICO.",VESSEL
CALLER REPORTED A TRAIN STRUCK A VEHICLE ON THE TRACKS OF A PASSENGER TRAIN LINE. NO DELAYS EXPECTED.,RAILROAD NON-RELEASE
